epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,31.564,0.67015,1.51129,0.97382,0.544,0.6,0.65782,0.55683,0.71025,3.25675,0.85829,0.000429068,0.000429068,0.000429068
64,31.9489,0.73045,1.59483,0.98414,0.52437,0.69681,0.68519,0.57018,0.71985,3.3793,0.87136,0.000418069,0.000418069,0.000418069
65,32.3251,0.62836,1.43974,0.93317,0.52437,0.69681,0.68519,0.57018,0.71985,3.3793,0.87136,0.00040707,0.00040707,0.00040707
66,32.8422,0.7013,1.58947,1.03638,0.5433,0.76316,0.69286,0.5709,0.70995,3.61713,0.88779,0.000396071,0.000396071,0.000396071
67,33.2127,0.73906,1.65683,1,0.5433,0.76316,0.69286,0.5709,0.70995,3.61713,0.88779,0.000385073,0.000385073,0.000385073
68,33.6041,0.60369,1.49369,0.99378,0.59898,0.72511,0.67901,0.54954,0.71683,3.4034,0.89886,0.000374074,0.000374074,0.000374074
69,33.9698,0.63211,1.49685,0.97734,0.59898,0.72511,0.67901,0.54954,0.71683,3.4034,0.89886,0.000363075,0.000363075,0.000363075
70,34.368,0.62013,1.37438,0.97537,0.62153,0.80965,0.65638,0.53386,0.75021,3.04322,0.91113,0.000352076,0.000352076,0.000352076
71,34.7179,0.72775,1.55685,1.10615,0.62153,0.80965,0.65638,0.53386,0.75021,3.04322,0.91113,0.000341077,0.000341077,0.000341077
72,35.1011,0.59178,1.59591,0.92942,0.62488,0.82475,0.6507,0.53298,0.76119,2.7112,0.90054,0.000330078,0.000330078,0.000330078
73,35.5641,0.63373,1.48078,1.06996,0.62488,0.82475,0.6507,0.53298,0.76119,2.7112,0.90054,0.000319079,0.000319079,0.000319079
74,35.9694,0.57735,1.33396,0.91937,0.63307,0.8347,0.64993,0.52706,0.76195,2.49488,0.88742,0.00030808,0.00030808,0.00030808
75,36.3264,0.53142,1.38911,0.96141,0.63307,0.8347,0.64993,0.52706,0.76195,2.49488,0.88742,0.000297081,0.000297081,0.000297081
76,36.7102,0.56243,1.31508,0.91985,0.63033,0.88333,0.64609,0.53279,0.74215,2.36392,0.87816,0.000286083,0.000286083,0.000286083
77,37.0755,0.62959,1.38529,0.95824,0.63033,0.88333,0.64609,0.53279,0.74215,2.36392,0.87816,0.000275084,0.000275084,0.000275084
78,37.4763,0.54823,1.34704,0.94247,0.64097,0.88333,0.65246,0.5369,0.73261,2.39522,0.87126,0.000264085,0.000264085,0.000264085
79,37.8389,0.72177,1.50908,1.01694,0.64097,0.88333,0.65246,0.5369,0.73261,2.39522,0.87126,0.000253086,0.000253086,0.000253086
80,38.3231,0.72814,1.6417,1.01463,0.64983,0.8758,0.65453,0.53288,0.75849,2.37798,0.88567,0.000242087,0.000242087,0.000242087
81,38.6923,0.55556,1.35997,0.97069,0.64983,0.8758,0.65453,0.53288,0.75849,2.37798,0.88567,0.000231088,0.000231088,0.000231088
82,39.106,0.52366,1.30024,0.95322,0.66103,0.85833,0.66638,0.53247,0.76151,2.3906,0.89003,0.000220089,0.000220089,0.000220089
83,39.4643,0.63668,1.3788,0.98007,0.66103,0.85833,0.66638,0.53247,0.76151,2.3906,0.89003,0.00020909,0.00020909,0.00020909
84,39.8422,0.64615,1.29318,1.00959,0.67874,0.87238,0.68104,0.55389,0.719,2.28463,0.87817,0.000198091,0.000198091,0.000198091
85,40.1996,0.56551,1.29226,0.97898,0.67874,0.87238,0.68104,0.55389,0.719,2.28463,0.87817,0.000187092,0.000187092,0.000187092
86,40.5729,0.54226,1.42224,0.99743,0.68813,0.8793,0.6677,0.55968,0.67688,2.24129,0.86987,0.000176094,0.000176094,0.000176094
87,41.0311,0.5191,1.26751,0.91303,0.68813,0.8793,0.6677,0.55968,0.67688,2.24129,0.86987,0.000165095,0.000165095,0.000165095
